- - - [11/12/2012:15:30:41 +0200] "lead.coreplugins.basic.LeadConfiguration.LeadConfiguration@185e90f" - - "-" "SessionType"
132.227.113.196 User - [11/12/2012:15:31:08 +0200] "-" - - "-" "ConnectionType"
132.227.113.197 chani - [11/12/2012:15:33:51 +0200] "-" - - "-" "ConnectionType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:15:37:02 +0200] "-" - - "-" "ConnectionType"
132.227.113.207 3152019_3268955 - [11/12/2012:15:37:48 +0200] "-" - - "-" "ConnectionType"
132.227.113.196 User - [11/12/2012:15:38:42 +0200] "-" - - "-" "DisconnectionType"
132.227.113.203 Mihai - [11/12/2012:15:38:46 +0200] "-" - - "-" "ConnectionType"
132.227.113.196 User - [11/12/2012:15:38:51 +0200] "-" - - "-" "ConnectionType"
132.227.113.202 10 - [11/12/2012:15:39:04 +0200] "-" - - "-" "ConnectionType"
132.227.113.195 amy - [11/12/2012:15:40:25 +0200] "-" - - "-" "ConnectionType"
132.227.113.206 rachid - [11/12/2012:15:40:54 +0200] "-" - - "-" "ConnectionType"
132.227.113.194 amna - [11/12/2012:15:44:57 +0200] "-" - - "-" "ConnectionType"
132.227.113.205 Cedric - [11/12/2012:15:46:10 +0200] "-" - - "-" "ConnectionType"
- - - [11/12/2012:15:46:53 +0200] "Session started" - - "-" "SessionType"
- - - [11/12/2012:15:46:53 +0200] "Step started-step number-1" - - "-" "SessionType"
- - - [11/12/2012:15:46:53 +0200] "GroupInfo[Cedric:1;amna:1;rachid:1;amy:1;10:1;User:1;Mihai:1;3152019_3268955:1;ZacharyEtNewfel:1;chani:1;]" - - "-" "SessionType"
132.227.113.204 SERVER - [11/12/2012:15:47:24 +0200] "StartVoteMessage" 1 - "positionometerTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:15:47:24 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:15:47:24 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.194 amna - [11/12/2012:15:47:25 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.202 10 - [11/12/2012:15:47:25 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:47:25 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.196 User - [11/12/2012:15:47:25 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.207 3152019_3268955 - [11/12/2012:15:47:25 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:15:47:26 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:15:47:26 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:15:47:27 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:47:27 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.196 User - [11/12/2012:15:47:27 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.202 10 - [11/12/2012:15:47:27 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:15:47:28 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:15:47:28 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:15:47:28 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.195 amy - [11/12/2012:15:47:28 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.195 amy - [11/12/2012:15:47:29 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.194 amna - [11/12/2012:15:47:29 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:15:47:30 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:15:47:30 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:47:30 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.202 10 - [11/12/2012:15:47:30 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.200 ZacharyEtNewfel - [11/12/2012:15:47:31 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:47:31 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.203 Mihai - [11/12/2012:15:47:31 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.195 amy - [11/12/2012:15:47:32 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.203 Mihai - [11/12/2012:15:47:32 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.203 Mihai - [11/12/2012:15:47:33 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.197 chani - [11/12/2012:15:47:33 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.196 User - [11/12/2012:15:47:34 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.195 amy - [11/12/2012:15:47:35 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.202 10 - [11/12/2012:15:47:35 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.202 10 - [11/12/2012:15:47:36 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.196 User - [11/12/2012:15:47:36 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.203 Mihai - [11/12/2012:15:47:39 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.203 Mihai - [11/12/2012:15:47:39 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.196 User - [11/12/2012:15:47:41 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.196 User - [11/12/2012:15:47:44 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.196 User - [11/12/2012:15:47:49 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.195 amy - [11/12/2012:15:47:50 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:15:47:52 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.206 rachid - [11/12/2012:15:47:54 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:15:47:57 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:15:47:57 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:15:47:58 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:15:47:59 +0200] "PositionometerMessage 2" 1 - "positionometerTool" "GenericType"
132.227.113.205 Cedric - [11/12/2012:15:47:59 +0200] "PositionometerMessage 1" 1 - "positionometerTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:49:02 +0200] "StopVoteMessage" 1 - "positionometerTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:49:14 +0200] "DisableServiceMessage" 1 - "positionometerTool" "GenericType"
- - - [11/12/2012:15:49:14 +0200] "Step ended-step number-1" - - "-" "SessionType"
- - - [11/12/2012:15:49:14 +0200] "Step started-step number-2" - - "-" "SessionType"
- - - [11/12/2012:15:49:14 +0200] "GroupInfo[Cedric:1;amna:1;rachid:1;amy:1;10:1;User:1;Mihai:1;3152019_3268955:1;ZacharyEtNewfel:1;chani:1;]" - - "-" "SessionType"
132.227.113.204 SERVER - [11/12/2012:15:49:43 +0200] "MLTCAddCategoryServerMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:50:40 +0200] "MLTCAddCategoryServerMessage" 2 - "mlThreadedChatTool" "GenericType"
132.227.113.204 SERVER - [11/12/2012:15:50:41 +0200] "MLThreadedChatServerMessage enfants" 2 - "mlThreadedChatTool" "GenericType"
